cliente_id,ciudad,plan,tipo_contrato,metodo_pago,antiguedad_meses,cargo_mensual,cargo_total,llamadas_soporte,tiene_fibra,satisfaccion,fecha_alta,pais,abandono
CLI-001418,Bogotá,Estándar,Mes a mes,Efectivo,32,56.57,1887.91,0,1,8.3,2023-01-01,Colombia,No
CLI-000700,Bucaramanga,Básico,Mes a mes,Efectivo,7,51.4,342.33,2,1,5.7,2019-05-15,Colombia,No
CLI-001184,Medellín,Estándar,Mes a mes,Transferencia,32,46.08,1488.45,2,1,5.4,2020-07-23,Colombia,Sí
CLI-001429,Medellín,Estándar,Mes a mes,Efectivo,19,60.07,1027.77,1,0,8.4,2022-06-19,Colombia,No
CLI-002955,Cali,Premium,Dos años,Transferencia,20,65.88,1245.93,1,1,5.4,2020-07-25,Colombia,No
CLI-001754,Barranquilla,Estándar,Mes a mes,Débito automático,29,44.37,1316.06,1,0,6.0,2021-03-03,Colombia,No
CLI-002668,Medellín,Básico,Mes a mes,Transferencia,69,62.39,3921.6,0,0,9.0,2020-10-05,Colombia,No
CLI-002206,Bogotá,Básico,Mes a mes,Débito automático,57,30.45,1613.41,3,0,6.7,2021-09-01,Colombia,No
CLI-001808,Bucaramanga,Estándar,Mes a mes,Transferencia,35,69.03,2513.1,1,1,6.2,2023-01-28,Colombia,Sí
CLI-001084,Medellín,Estándar,Dos años,Tarjeta,40,89.69,,2,1,4.1,2019-04-10,Colombia,Sí
CLI-001587,Cali,Estándar,Mes a mes,Débito automático,59,82.13,4755.21,1,0,5.2,2023-02-26,Colombia,No
CLI-001236,Barranquilla,Premium,Un año,Transferencia,25,93.86,2540.25,1,1,,2019-11-14,Colombia,No
CLI-000417,Bogotá,Básico,Mes a mes,Débito automático,69,88.25,6065.38,1,1,8.1,2020-09-23,Colombia,No
CLI-000455,Cali,Básico,Dos años,Débito automático,43,99.76,3944.21,0,0,,2020-06-07,Colombia,No
CLI-001436,Medellín,Estándar,Mes a mes,Efectivo,8,39.74,305.49,1,0,,2019-12-24,Colombia,No
CLI-001580,Medellín,Básico,Mes a mes,Transferencia,43,68.2,2777.4,1,1,6.0,2019-05-31,Colombia,No
CLI-001334,Barranquilla,Básico,Un año,Transferencia,58,57.09,3146.34,4,0,7.4,2019-10-29,Colombia,No
CLI-000204,Cali,Básico,Mes a mes,Débito automático,50,114.96,5380.38,2,0,6.5,2020-12-04,Colombia,Sí
CLI-002982,Barranquilla,Premium,Un año,Transferencia,5,18.0,95.01,1,0,,2019-01-10,Colombia,No
CLI-001295,Barranquilla,Básico,Un año,Tarjeta,68,96.98,6913.01,0,1,,2019-04-04,Colombia,No
CLI-002518,Medellín,Básico,Mes a mes,Débito automático,38,63.65,2242.45,0,1,7.3,2019-09-06,Colombia,No
CLI-001636,Bogotá,Básico,Dos años,Débito automático,39,41.66,1631.03,1,1,,2019-11-11,Colombia,No
CLI-002547,Barranquilla,Premium,Un año,Transferencia,57,62.05,3805.09,1,1,7.4,2019-09-19,Colombia,No
CLI-000469,Cali,Estándar,Mes a mes,Transferencia,13,91.66,,2,1,3.7,2021-02-24,Colombia,Sí
CLI-002077,Medellín,Estándar,Mes a mes,Tarjeta,33,93.44,3386.88,2,1,9.0,2023-02-17,Colombia,Sí
CLI-001803,Medellín,Básico,Mes a mes,Efectivo,33,78.26,2394.66,2,0,,2021-06-17,Colombia,No
CLI-001224,Bogotá,Estándar,Mes a mes,Débito automático,47,52.75,2586.41,1,0,8.7,2020-08-04,Colombia,No
CLI-002909,Medellín,Básico,Mes a mes,Débito automático,10,66.57,691.61,3,0,8.3,2021-03-21,Colombia,No
CLI-000528,Cali,Básico,Mes a mes,Débito automático,11,50.82,549.59,0,1,6.1,2020-06-12,Colombia,No
CLI-002161,Barranquilla,Estándar,Mes a mes,Efectivo,58,78.21,4706.87,3,1,8.1,2020-09-02,Colombia,No
CLI-002681,Bogotá,,Mes a mes,Transferencia,9,66.35,555.79,1,1,9.2,2021-08-11,Colombia,No
CLI-000796,Bogotá,Básico,Dos años,Transferencia,21,40.44,883.04,3,0,7.4,2022-08-30,Colombia,No
CLI-000042,Bogotá,,Mes a mes,Tarjeta,54,54.38,,0,1,5.9,2021-01-13,Colombia,No
CLI-002165,Bogotá,Básico,Mes a mes,Transferencia,68,68.4,5102.83,2,1,5.7,2019-06-21,Colombia,Sí
CLI-001877,Bogotá,Básico,Mes a mes,Transferencia,17,63.83,1109.21,1,1,8.0,2023-09-19,Colombia,No
CLI-002072,Cali,Básico,Un año,Débito automático,46,65.33,3013.46,1,1,5.2,2021-08-07,Colombia,No
CLI-001978,Medellín,Premium,Un año,Efectivo,25,72.5,1663.0,3,0,5.2,2021-10-25,Colombia,No
CLI-000679,Bogotá,Básico,Un año,Transferencia,38,77.98,2965.87,0,1,5.4,2021-05-27,Colombia,No
CLI-002899,Medellín,Básico,Mes a mes,Efectivo,57,58.8,3084.33,3,0,9.2,2023-05-10,Colombia,No
CLI-002838,Medellín,Básico,Mes a mes,Débito automático,64,53.51,3654.29,2,0,10.0,2023-01-22,Colombia,No
CLI-002537,Cali,Estándar,Mes a mes,Débito automático,24,95.29,2059.78,2,1,7.5,2020-12-08,Colombia,No
CLI-000359,Bogotá,Estándar,Mes a mes,Efectivo,7,82.1,600.1,0,1,7.1,2021-07-23,Colombia,Sí
CLI-000730,Bogotá,Premium,Mes a mes,Tarjeta,47,83.72,3764.18,0,1,4.2,2022-01-15,Colombia,No
CLI-000306,Bogotá,Estándar,Mes a mes,Tarjeta,10,66.39,630.71,0,1,,2020-06-08,Colombia,No
CLI-002743,Bucaramanga,Estándar,Mes a mes,Débito automático,37,83.52,2887.66,0,1,3.4,2023-08-27,Colombia,No
CLI-002740,Cali,Estándar,Mes a mes,Efectivo,25,77.96,1965.06,1,0,10.0,2022-11-22,Colombia,Sí
CLI-001596,Bogotá,Básico,Mes a mes,Efectivo,12,41.54,493.97,1,1,7.5,2023-08-10,Colombia,No
CLI-000363,Medellín,Premium,Un año,Efectivo,16,100.54,1514.2,1,0,2.6,2022-01-15,Colombia,Sí
CLI-000653,Cali,,Mes a mes,Transferencia,15,92.78,1458.96,1,1,,2022-08-27,Colombia,Sí
CLI-002343,Cali,Estándar,Dos años,Débito automático,39,64.48,2592.58,2,1,8.4,2023-11-20,Colombia,No
CLI-001105,Bogotá,Premium,Dos años,Tarjeta,22,98.34,2260.76,0,1,,2020-05-28,Colombia,No
CLI-000096,Medellín,Básico,Dos años,Tarjeta,21,54.29,1222.7,2,0,8.5,2023-02-15,Colombia,No
CLI-000583,Medellín,Básico,Mes a mes,Tarjeta,8,117.91,1032.73,1,1,10.0,2019-07-07,Colombia,Sí
CLI-000675,Cali,Básico,Un año,Transferencia,45,50.03,2146.25,4,0,9.5,2019-02-12,Colombia,No
CLI-000930,Bucaramanga,Básico,Mes a mes,Transferencia,42,68.88,2709.01,2,1,10.0,2019-11-23,Colombia,No
CLI-001166,Medellín,Premium,Mes a mes,Transferencia,8,66.12,509.08,2,1,6.0,2023-04-24,Colombia,Sí
CLI-002387,Bogotá,Estándar,Dos años,Tarjeta,68,67.65,4813.09,2,1,5.9,2022-05-04,Colombia,No
CLI-001421,Bogotá,Estándar,Un año,Transferencia,68,77.64,5454.9,1,1,9.0,2023-11-30,Colombia,No
CLI-002973,Cali,Básico,Dos años,Efectivo,43,83.22,3694.51,0,1,4.0,2022-12-28,Colombia,No
CLI-001874,Medellín,Premium,Mes a mes,Débito automático,67,60.06,3771.33,1,1,8.7,2022-12-24,Colombia,No
CLI-002502,Barranquilla,Básico,Mes a mes,Transferencia,8,103.51,905.32,1,1,3.6,2019-01-30,Colombia,Sí
CLI-002639,Bogotá,Estándar,Dos años,Transferencia,11,80.91,823.21,1,1,4.7,2020-06-08,Colombia,Sí
CLI-000705,Medellín,Estándar,Mes a mes,Transferencia,10,85.12,875.22,1,1,10.0,2019-12-02,Colombia,No
CLI-002991,Bogotá,Estándar,Un año,Efectivo,33,50.78,1783.29,1,1,10.0,2022-11-02,Colombia,No
CLI-002634,Barranquilla,Estándar,Dos años,Tarjeta,40,40.38,1537.46,2,1,5.9,2021-10-21,Colombia,No
CLI-001532,Cali,Básico,Mes a mes,Débito automático,1,110.69,119.24,1,1,9.1,2020-03-12,Colombia,No
CLI-001819,Barranquilla,Premium,Dos años,Tarjeta,10,50.84,528.88,2,0,4.1,2020-06-29,Colombia,No
CLI-002858,Bogotá,Estándar,Un año,Efectivo,56,56.45,3404.73,2,0,2.8,2022-02-13,Colombia,No
CLI-000319,Medellín,Básico,Dos años,Tarjeta,67,41.96,2613.13,1,0,5.6,2023-01-27,Colombia,No
CLI-000548,Medellín,Básico,Un año,Débito automático,42,42.23,,2,0,5.1,2021-10-12,Colombia,No
CLI-000225,Bogotá,,Dos años,Efectivo,52,54.01,2627.25,2,1,6.2,2023-09-14,Colombia,Sí
CLI-000193,Medellín,Básico,Un año,Transferencia,44,83.41,3927.52,0,1,,2021-12-01,Colombia,No
CLI-001947,Medellín,Premium,Un año,Efectivo,12,87.74,1022.12,1,0,6.3,2022-01-04,Colombia,Sí
CLI-002272,Bogotá,Básico,Mes a mes,Débito automático,23,87.53,2209.99,2,1,10.0,2020-08-09,Colombia,No
CLI-000533,Cali,Estándar,Mes a mes,Efectivo,12,75.79,932.3,2,0,2.8,2020-10-23,Colombia,No
CLI-000936,Bogotá,Básico,Dos años,Débito automático,67,41.0,2687.95,1,1,8.6,2023-05-04,Colombia,No
CLI-002312,Bogotá,Premium,Mes a mes,Efectivo,5,36.4,177.84,1,1,9.6,2019-05-22,Colombia,Sí
CLI-000585,Cali,Básico,Un año,Efectivo,29,35.52,1033.96,3,1,8.2,2023-03-16,Colombia,No
CLI-001164,Bucaramanga,Premium,Dos años,Débito automático,38,75.29,2703.51,1,1,7.1,2020-03-15,Colombia,No
CLI-001682,Barranquilla,Estándar,Dos años,Transferencia,1,145.79,132.92,0,0,7.3,2022-09-20,Colombia,No
CLI-002183,Bogotá,Básico,Mes a mes,Tarjeta,44,67.74,2847.94,3,0,10.0,2023-08-06,Colombia,No
